rhcp_id,name,place_id,place_match,place_details,reference_website,results_website,website_match
1439,"SLA Medical Clinic","ChIJZb9VA5sHe0gRjZzqJbRpZBw",1,1,"http://www.sarahlouiseaesthetics.com","http://www.slamedicalclinic.com/",0
1612,"Epione Aesthetics of Harrogate","ChIJMcfI8OZTeUgRHOMxWqEsn-I",1,1,"http://www.Epione-aesthetics.co.uk","http://www.epione-aesthetics.co.uk/",1
2339,"Skin Glow Clinic","ChIJ9dVyxnkRdkgR678nCXJGYLQ",1,1,"http://skinglowclinic.co.uk","http://www.skinglowclinic.co.uk/",1
2822,"Skin Excellence Clinics (Wells)","ChIJ764lwSoYckgRed2skA9PdDk",1,1,"http://www.skinexcellenceclinics.co.uk","https://www.skinexcellenceclinics.co.uk/?utm_source=Organic&utm_medium=Google%20Maps&utm_campaign=Wells",1
3168,"Dermoperfection skin clinic and medspa","ChIJxarqQfW8cEgRp0UoyQ6uIrY",1,1,"http://www.dermoperfection.co.uk","http://www.dermoperfection.co.uk/",1
3380,"Epilium & Skin","ChIJEaFUdc0adkgRKI43RTA8wLk",1,1,"http://www.epilium.co.uk","https://epilium.co.uk/",1
3473,"Saddle House Medi-Spa","ChIJeexaZZYVdEgR0IQd0zrRRuE",1,1,"http://www.saddlehouse.co.uk","https://saddlehouse.co.uk/",1
1360,"SAS Aesthetics London","ChIJg3IXzjMDdkgR7uWZ-MCDaX4",1,1,"http://www.sas-aesthetics.co.uk","https://www.sas-aesthetics.co.uk/",1
4891,"Harley Street Skin","ChIJaa2ICtQadkgRIPwbbYuL_2I",1,1,"http://www.harleystreetskinclinic.com","http://harleystreetskinclinic.com/",1
5165,"Beyoo Aesthethics","ChIJO0J7YjWze0gRfhix_0uHGAA",1,1,"http://www.beyoo.co.uk","https://beyoo.co.uk/",1
5975,"Stafford Skincare Limited","ChIJO8AwpeyncEgRTYey4lyzQdI",1,1,"http://www.stafford-skincare.co.uk","http://www.stafford-skincare.co.uk/",1
7293,"Skin Analytics UK Base","ChIJPUYqZkl32EcR0lRswNTcKbE",1,1,"http://www.skin-analytics.com/","http://skin-analytics.com/",1
14967,"The Epsom Skin Clinic","ChIJOSI-gRHidUgRWpkvsFADVMw",1,1,"http://www.fyma.co.uk","http://www.epsomskinclinics.com/",0
9296,"Skin Medical Manchester","ChIJ9zNR7sOxe0gRSunKCcrnDhE",1,1,"http://www.skinmedical.co.uk","http://www.skinmedical.co.uk/",1
12717,"Royal Tunbridge Wells Skin Clinic Ltd","ChIJ347USTdE30cRHLjz53TraBg",1,1,"http://www.skinlc.co.uk","http://www.rtwskin.co.uk/",0
13266,"Brigstock Skin & Laser Centre","ChIJK4Hd6VMHdkgRBlTawotP1ts",1,1,"http://www.brigstockskinandlaser.com","https://www.brigstockskinandlaser.com/",1
14185,"Canterbury Skin and Laser Clinic Limited","ChIJkdFAfMnL3kcRJGLtmrZwAvA",1,1,"http://www.skinandlaser.co.uk","http://skinandlaser.co.uk/?utm_source=local&utm_medium=organic&utm_campaign=GMB",1
21513,"LINIA Skin Clinic","ChIJi89A-NMadkgRnzPgXAyZk3g",1,1,"http://www.liniaskinclinic.com","https://liniaskinclinic.com/",1
22399,"55 Harley Street","ChIJz7239NMadkgRC30lsY_pGXM",1,0,"http://www.skin55.co.uk",,0
26235,"Dermatology Consulting:Skin, Laser and Cosmetic Clinic","ChIJNYZzrzlE30cRahkLC9HgsTE",1,1,"http://www.dermatologyconsulting.co.uk/","https://www.dermatologyconsulting.co.uk/",1
2,"Facial Aesthetics",,0,0,,,
3,"Amanda Azzopardi Aesthetics","ChIJrb41HVohe0gRy-ZUvps_S68",1,1,,"https://amandaazzopardi.co.uk/",
4,"PHP Aesthetic","ChIJP9NvTT0bdkgR7CuXYB3skl4",1,1,,"http://www.phpaesthetic.com/",
5,"Dr Christine Medical Aesthetics","ChIJcULw6TBE30cRKiJtDVToxs0",1,1,,"http://www.drchristine.co.uk/",
6,"VL Aesthetics",,0,0,,,
7,"Romsey Medical Aesthetics","ChIJwxlgAh2Lc0gRvG9yyEz7ddE",1,1,,"http://www.rmauk.com/",
8,"Rajeunir Aesthetics",,0,0,,,
9,"Skin Rejuvenation Clinic","ChIJuU5X_NMadkgR7pi76KykaJ0",1,1,,"http://www.skinrejuvenationclinic.london/",
